c_university_name,c_room_cost,c_in_state_tuition,c_in_state_total,c_out_state_tuition,c_out_state_total
Auburn University,13332,11276,24608,30524,43856
Boston College,14478,55464,69942,55464,69942
Boston University,15720,53948,69668,53948,69668
Brandeis University,15440,55395,70835,55395,70835
Brown University,14670,55656,70326,55656,70326
California Institute of Technology,15525,52362,67887,52362,67887
Carnegie Mellon University,14418,55465,69883,55465,69883
Case Western Reserve University,15190,49042,64232,49042,64232
Clemson University,10832,14970,25802,36724,47556
Colorado School of Mines,13169,18964,32133,38584,51753
Cornell University,14816,55188,70004,55188,70004
Creighton University,11036,39916,50952,39916,50952
Dartmouth College,15756,55453,71209,55453,71209
Drexel University,14079,53279,67358,53279,67358
Duke University,15178,55695,70873,55695,70873
Emory University,14456,51306,65762,51306,65762
Florida Institute of Technology,12880,41850,54730,41850,54730
Florida International University,10882,6558,17440,18956,29838
Florida State University,10816,6516,17332,21683,32499
George Mason University,11460,12462,23922,35922,47382
Georgia State University,11378,10858,22236,29432,40810
Illinois Institute of Technology,12762,47296,60058,47296,60058
Iowa State University,8720,8988,17708,23392,32112
Johns Hopkins University,15836,54240,70076,54240,70076
Kansas State University,9680,10263,19943,25767,35447
Lehigh University,13600,52930,66530,52930,66530
Massachusetts Institute of Technology,15510,51832,67342,51832,67342
Medical University of South Carolina,NA,26826,26826,26826,26826
Michigan State University,10322,14460,24782,39765,50087
Michigan Technological University,10756,15646,26402,33726,44482
Missouri University of Science and Technology,10274,10169,20443,28499,38773
New Jersey Institute of Technology,13600,17338,30938,32750,46350
New York University,18156,51828,69984,51828,69984
Northeastern University,16880,51387,68267,51387,68267
Northwestern University,16626,54567,71193,54567,71193
Oakland University,10100,12606,22706,24230,34330
Old Dominion University,11620,10872,22492,29772,41392
Oregon State University,12855,11166,24021,30141,42996
Portland State University,10428,9105,19533,27060,37488
Princeton University,16290,49330,65620,49330,65620
Rensselaer Polytechnic Institute,15260,53880,69140,53880,69140
Rice University,14000,47350,61350,47350,61350
Rochester Institute of Technology,13046,44130,57176,44130,57176
Rush University,NA,24900,24900,24900,24900
Saint Louis University,12290,43884,56174,43884,56174
San Diego State University,16735,7488,24223,19368,36103
Southern Methodist University,16845,54493,71338,54493,71338
Stanford University,15763,51354,67117,51354,67117
Syracuse University,15550,51853,67403,51853,67403
Temple University,11916,16970,28886,29066,40982
Tufts University,14560,56382,70942,56382,70942
University of Arizona,12550,12487,25037,36386,48936
University of Chicago,16350,58230,74580,58230,74580
University of Connecticut,12874,15730,28604,38098,50972
University of Delaware,12862,13680,26542,34310,47172
University of Florida,10120,6381,16501,28658,38778
University of Georgia,10038,11830,21868,30404,40442
University of Houston,10270,12506,22776,27956,38226
University of Idaho,8880,7864,16744,25500,34380
University of Illinois at Chicago,12074,13764,25838,26980,39054
University of Iowa,11172,9267,20439,31233,42405
University of Kansas,10350,11148,21498,27358,37708
University of Kentucky,12982,12245,25227,29099,42081
University of Miami,14108,50226,64334,50226,64334
University of Nebraska Medical Center,NA,11558,11558,28898,28898
University of North Carolina at Chapel Hill,11190,8987,20177,35170,46360
University of North Carolina at Greensboro,9038,7319,16357,22478,31516
University of Notre Dame,15410,53391,68801,53391,68801
University of Oregon,12963,11898,24861,35478,48441
University of Pennsylvania,15616,55584,71200,55584,71200
University of Rochester,15938,53926,69864,53926,69864
University of Southern California,15395,56225,71620,56225,71620
University of Southern Mississippi,9857,8734,18591,10734,20591
University of Toledo,11434,9795,21229,19133,30567
University of Utah,10262,9222,19484,29215,39477
University of Vermont,12462,18276,30738,42516,54978
University of Wyoming,10320,5400,15720,17490,27810
Vanderbilt University,16234,49816,66050,49816,66050
Wake Forest University,16032,53322,69354,53322,69354
Wayne State University,10427,13347,23774,28241,38668
Yale University,16000,53430,69430,53430,69430
Yeshiva University,12250,43500,55750,43500,55750
