do_university_name,do_major_name,do_level
Auburn University,Agricultural Business and Management,Bachelor's Degree
Auburn University,Agricultural Business and Management,Master's Degree
Auburn University,Agricultural Production Operations,Bachelor's Degree
Auburn University,Agricultural Production Operations,Master's Degree
Auburn University,Agricultural Production Operations,Doctoral Degree
Auburn University,Animal Sciences,Bachelor's Degree
Auburn University,Animal Sciences,Master's Degree
Auburn University,Animal Sciences,Doctoral Degree
Auburn University,Food Science and Technology,Bachelor's Degree
Auburn University,Plant Sciences,Bachelor's Degree
Auburn University,Plant Sciences,Post-baccalaureate Certificate
Auburn University,Plant Sciences,Master's Degree
Auburn University,Plant Sciences,Doctoral Degree
Auburn University,Plant Sciences,Graduate/Professional Certificate
Auburn University,Natural Resources Conservation and Research,Bachelor's Degree
Auburn University,Natural Resources Conservation and Research,Master's Degree
Auburn University,Natural Resources Management and Policy,Bachelor's Degree
Auburn University,Forestry,Bachelor's Degree
Auburn University,Forestry,Master's Degree
Auburn University,Forestry,Doctoral Degree
Auburn University,Wildlife and Wildlands Science and Management,Bachelor's Degree
Auburn University,Architecture,Bachelor's Degree
Auburn University,"City/Urban, Community and Regional Planning",Master's Degree
Auburn University,Environmental Design,Bachelor's Degree
Auburn University,Interior Architecture,Bachelor's Degree
Auburn University,Landscape Architecture,Master's Degree
Auburn University,Real Estate Development,Master's Degree
Auburn University,Communication and Media Studies,Bachelor's Degree
Auburn University,Communication and Media Studies,Master's Degree
Auburn University,Journalism,Bachelor's Degree
Auburn University,"Radio, Television, and Digital Communication",Bachelor's Degree
Auburn University,"Public Relations, Advertising, and Applied Communication",Bachelor's Degree
Auburn University,"Computer and Information Sciences, General",Bachelor's Degree
Auburn University,"Education, General",Master's Degree
Auburn University,"Education, General",Graduate/Professional Certificate
Auburn University,Educational Administration and Supervision,Post-baccalaureate Certificate
Auburn University,Educational Administration and Supervision,Master's Degree
Auburn University,Educational Administration and Supervision,Doctoral Degree
Auburn University,Educational Administration and Supervision,Graduate/Professional Certificate
Auburn University,Educational/Instructional Media Design,Master's Degree
Auburn University,Special Education and Teaching,Bachelor's Degree
Auburn University,Special Education and Teaching,Post-baccalaureate Certificate
Auburn University,Special Education and Teaching,Master's Degree
Auburn University,Special Education and Teaching,Doctoral Degree
Auburn University,Special Education and Teaching,Graduate/Professional Certificate
Auburn University,Student Counseling and Personnel Services,Master's Degree
Auburn University,Student Counseling and Personnel Services,Doctoral Degree
Auburn University,Student Counseling and Personnel Services,Graduate/Professional Certificate
Auburn University,"Teacher Education and Professional Development, Specific Levels and Methods",Bachelor's Degree
Auburn University,"Teacher Education and Professional Development, Specific Levels and Methods",Post-baccalaureate Certificate
Auburn University,"Teacher Education and Professional Development, Specific Levels and Methods",Master's Degree
Auburn University,"Teacher Education and Professional Development, Specific Levels and Methods",Doctoral Degree
Auburn University,"Teacher Education and Professional Development, Specific Levels and Methods",Graduate/Professional Certificate
