m_major_name,m_general,m_startcareer_earning,m_midcareer_earning
"Agriculture, General",Agriculture,42600,71900
Agricultural Business and Management,Business Management,43000,72100
Agricultural Mechanization,Agriculture,42600,71900
Agricultural Production Operations,Agriculture,42600,71900
Agricultural and Food Products Processing,Agriculture,42600,71900
Applied Horticulture and Horticultural Business Services,Business Management,43000,72100
International Agriculture,Agriculture,42600,71900
Agricultural Public Services,Agriculture,42600,71900
Animal Sciences,Science,38800,64800
Food Science and Technology,Science,38800,64800
Plant Sciences,Science,38800,64800
Soil Sciences,Science,38800,64800
"Agriculture, Agriculture Operations, and Related Sciences, Other",Agriculture,42600,71900
Natural Resources Conservation and Research,NULL,NULL,NULL
Natural Resources Management and Policy,Business Management,43000,72100
Fishing and Fisheries Sciences and Management,Business Management,43000,72100
Forestry,Forestry,39100,62600
Wildlife and Wildlands Science and Management,Business Management,43000,72100
"Natural Resources and Conservation, Other",NULL,NULL,NULL
Architecture,Architecture,41600,76800
"City/Urban, Community and Regional Planning",Communications,38100,70000
Environmental Design,NULL,NULL,NULL
Interior Architecture,Architecture,41600,76800
Landscape Architecture,Architecture,41600,76800
Architectural History and Criticism,History,39200,71000
Architectural Sciences and Technology,Architecture,41600,76800
Real Estate Development,NULL,NULL,NULL
"Architecture and Related Services, Other",Architecture,41600,76800
Area Studies,NULL,NULL,NULL
"Ethnic, Cultural Minority, Gender, and Group Studies",NULL,NULL,NULL
Communication and Media Studies,Communications,38100,70000
Journalism,Journalism,35600,66700
"Radio, Television, and Digital Communication",Communications,38100,70000
"Public Relations, Advertising, and Applied Communication",Communications,38100,70000
Publishing,NULL,NULL,NULL
"Communication, Journalism, and Related Programs, Other",Journalism,35600,66700
Communications Technology/Technician,Communications,38100,70000
Audiovisual Communications Technologies/Technicians,Communications,38100,70000
Graphic Communications,Graphic Design,35700,59800
"Communications Technologies/Technicians and Support Services, Other",Communications,38100,70000
"Computer and Information Sciences, General",Computer Science,55900,95500
Computer Programming,Computer Science,55900,95500
Data Processing,NULL,NULL,NULL
Information Science/Studies,Science,38800,64800
Computer Systems Analysis,Computer Science,55900,95500
Computer Science,Computer Science,55900,95500
Computer Software and Media Applications,Computer Science,55900,95500
Computer Systems Networking and Telecommunications,Computer Science,55900,95500
Computer/Information Technology Administration and Management,Management Information Systems (MIS),49200,82300
"Computer and Information Sciences and Support Services, Other",Computer Science,55900,95500
Funeral Service and Mortuary Science,Science,38800,64800
Culinary Arts and Related Services,NULL,NULL,NULL
"Personal and Culinary Services, Other",NULL,NULL,NULL
"Education, General",Education,34900,52000
"Bilingual, Multilingual, and Multicultural Education",Education,34900,52000
Curriculum and Instruction,NULL,NULL,NULL
Educational Administration and Supervision,Education,34900,52000
Educational/Instructional Media Design,Education,34900,52000
"Educational Assessment, Evaluation, and Research",Education,34900,52000
International and Comparative Education,Education,34900,52000
Social and Philosophical Foundations of Education,Sociology,36500,58200
Special Education and Teaching,Education,34900,52000
Student Counseling and Personnel Services,NULL,NULL,NULL
"Teacher Education and Professional Development, Specific Levels and Methods",Education,34900,52000
"Teacher Education and Professional Development, Specific Subject Areas",Education,34900,52000
Teaching English or French as a Second or Foreign Language,Language,34000,53100
"Education, Other",Education,34900,52000
"Engineering, General",Engineering,55000,91000
"Aerospace, Aeronautical and Astronautical Engineering",Aerospace Engineering,57700,101000
Agricultural Engineering,Agriculture,42600,71900
Architectural Engineering,Architecture,41600,76800
Biomedical/Medical Engineering,Biology,38800,64800
Ceramic Sciences and Engineering,Science,38800,64800
Chemical Engineering,Chemical Engineering,63200,107000
Civil Engineering,Civil Engineering,53900,90500
Computer Engineering,Computer Engineering,61400,105000
"Electrical, Electronics and Communications Engineering",Electrical Engineering,60900,103000
Engineering Mechanics,Mechanical Engineering,57900,93600
Engineering Physics,Engineering,55000,91000
Engineering Science,Science,38800,64800
Environmental/Environmental Health Engineering,Health Care Administration,38800,60600
Materials Engineering,Engineering,55000,91000
Mechanical Engineering,Mechanical Engineering,57900,93600
Metallurgical Engineering,Engineering,55000,91000
Mining and Mineral Engineering,Engineering,55000,91000
Nuclear Engineering,Engineering,55000,91000
Ocean Engineering,Engineering,55000,91000
Petroleum Engineering,Engineering,55000,91000
Systems Engineering,Engineering,55000,91000
Polymer/Plastics Engineering,Engineering,55000,91000
Construction Engineering,Construction,53700,88900
Forest Engineering,Engineering,55000,91000
