m_university_name,m_major_name
Auburn University,Agricultural Business and Management
Auburn University,Agricultural Business and Management
Auburn University,Agricultural Production Operations
Auburn University,Agricultural Production Operations
Auburn University,Agricultural Production Operations
Auburn University,Animal Sciences
Auburn University,Animal Sciences
Auburn University,Animal Sciences
Auburn University,Food Science and Technology
Auburn University,Plant Sciences
Auburn University,Plant Sciences
Auburn University,Plant Sciences
Auburn University,Plant Sciences
Auburn University,Plant Sciences
Auburn University,Natural Resources Conservation and Research
Auburn University,Natural Resources Conservation and Research
Auburn University,Natural Resources Management and Policy
Auburn University,Forestry
Auburn University,Forestry
Auburn University,Forestry
Auburn University,Wildlife and Wildlands Science and Management
Auburn University,Architecture
Auburn University,City/Urban, Community and Regional Planning
Auburn University,Environmental Design
Auburn University,Interior Architecture
Auburn University,Landscape Architecture
Auburn University,Real Estate Development
Auburn University,Communication and Media Studies
Auburn University,Communication and Media Studies
Auburn University,Journalism
Auburn University,Radio, Television, and Digital Communication
Auburn University,Public Relations, Advertising, and Applied Communication
Auburn University,Computer and Information Sciences, General
Auburn University,Education, General
Auburn University,Education, General
Auburn University,Educational Administration and Supervision
Auburn University,Educational Administration and Supervision
Auburn University,Educational Administration and Supervision
Auburn University,Educational Administration and Supervision
Auburn University,Educational/Instructional Media Design
Auburn University,Special Education and Teaching
Auburn University,Special Education and Teaching
Auburn University,Special Education and Teaching
Auburn University,Special Education and Teaching
Auburn University,Special Education and Teaching
Auburn University,Student Counseling and Personnel Services
Auburn University,Student Counseling and Personnel Services
Auburn University,Student Counseling and Personnel Services
Auburn University,Teacher Education and Professional Development, Specific Levels and Methods
Auburn University,Teacher Education and Professional Development, Specific Levels and Methods
Auburn University,Teacher Education and Professional Development, Specific Levels and Methods
Auburn University,Teacher Education and Professional Development, Specific Levels and Methods
Auburn University,Teacher Education and Professional Development, Specific Levels and Methods
Auburn University,Teacher Education and Professional Development, Specific Subject Areas
Auburn University,Teacher Education and Professional Development, Specific Subject Areas
Auburn University,Teacher Education and Professional Development, Specific Subject Areas
Auburn University,Teacher Education and Professional Development, Specific Subject Areas
Auburn University,Teacher Education and Professional Development, Specific Subject Areas
Auburn University,Aerospace, Aeronautical and Astronautical Engineering
Auburn University,Aerospace, Aeronautical and Astronautical Engineering
Auburn University,Aerospace, Aeronautical and Astronautical Engineering
Auburn University,Architectural Engineering
Auburn University,Architectural Engineering
Auburn University,Architectural Engineering
Auburn University,Architectural Engineering
Auburn University,Chemical Engineering
Auburn University,Chemical Engineering
Auburn University,Chemical Engineering
Auburn University,Civil Engineering
Auburn University,Civil Engineering
Auburn University,Civil Engineering
Auburn University,Computer Engineering
Auburn University,Computer Engineering
Auburn University,Computer Engineering
Auburn University,Electrical, Electronics and Communications Engineering
Auburn University,Electrical, Electronics and Communications Engineering
Auburn University,Electrical, Electronics and Communications Engineering
Auburn University,Materials Engineering
Auburn University,Materials Engineering
Auburn University,Materials Engineering
Auburn University,Mechanical Engineering
Auburn University,Mechanical Engineering
Auburn University,Mechanical Engineering
Auburn University,Polymer/Plastics Engineering
Auburn University,Polymer/Plastics Engineering
Auburn University,Polymer/Plastics Engineering
Auburn University,Industrial Engineering
Auburn University,Industrial Engineering
Auburn University,Industrial Engineering
Auburn University,Industrial Engineering
Auburn University,Industrial Engineering
Auburn University,Biological/Biosystems Engineering
Auburn University,Biological/Biosystems Engineering
Auburn University,Biological/Biosystems Engineering
Auburn University,Engineering, Other
Auburn University,Germanic Languages, Literatures, and Linguistics
Auburn University,Romance Languages, Literatures, and Linguistics
Auburn University,Romance Languages, Literatures, and Linguistics
Auburn University,Foods, Nutrition, and Related Services
Auburn University,Human Development, Family Studies, and Related Services
Auburn University,Human Development, Family Studies, and Related Services
Auburn University,Human Development, Family Studies, and Related Services
Auburn University,Apparel and Textiles
Auburn University,Apparel and Textiles
Auburn University,Family and Consumer Sciences/Human Sciences, Other
Auburn University,English Language and Literature, General
Auburn University,English Language and Literature, General
Auburn University,English Language and Literature, General
Auburn University,Rhetoric and Composition/Writing Studies
Auburn University,Rhetoric and Composition/Writing Studies
Auburn University,Biology, General
Auburn University,Biology, General
Auburn University,Biology, General
Auburn University,Microbiological Sciences and Immunology
Auburn University,Zoology/Animal Biology
Auburn University,Physiology, Pathology and Related Sciences
Auburn University,Physiology, Pathology and Related Sciences
Auburn University,Physiology, Pathology and Related Sciences
Auburn University,Physiology, Pathology and Related Sciences
Auburn University,Ecology, Evolution, Systematics, and Population Biology
Auburn University,Mathematics
Auburn University,Mathematics
Auburn University,Mathematics
Auburn University,Applied Mathematics
Auburn University,Applied Mathematics
Auburn University,Statistics
Auburn University,Multi-/Interdisciplinary Studies, General
Auburn University,Nutrition Sciences
Auburn University,Nutrition Sciences
Auburn University,Nutrition Sciences
Auburn University,Philosophy
Auburn University,Chemistry
Auburn University,Chemistry
Auburn University,Chemistry
Auburn University,Geological and Earth Sciences/Geosciences
Auburn University,Geological and Earth Sciences/Geosciences
Auburn University,Physics
Auburn University,Physics
Auburn University,Physics
Auburn University,Psychology, General
Auburn University,Psychology, General
Auburn University,Psychology, General
Auburn University,Clinical, Counseling and Applied Psychology
Auburn University,Clinical, Counseling and Applied Psychology
Auburn University,Public Administration
Auburn University,Public Administration
Auburn University,Public Administration
Auburn University,Public Administration
Auburn University,Public Administration
Auburn University,Social Work
Auburn University,Anthropology
Auburn University,Criminology
Auburn University,Economics
Auburn University,Economics
Auburn University,Geography and Cartography
Auburn University,Geography and Cartography
Auburn University,Political Science and Government
Auburn University,Sociology
Auburn University,Sociology
Auburn University,Design and Applied Arts
Auburn University,Design and Applied Arts
Auburn University,Design and Applied Arts
Auburn University,Drama/Theatre Arts and Stagecraft
Auburn University,Fine and Studio Arts
Auburn University,Music
Auburn University,Communication Disorders Sciences and Services
Auburn University,Communication Disorders Sciences and Services
Auburn University,Communication Disorders Sciences and Services
Auburn University,Health and Medical Administrative Services
Auburn University,Clinical/Medical Laboratory Science/Research and Allied Professions
Auburn University,Pharmacy, Pharmaceutical Sciences, and Administration
Auburn University,Pharmacy, Pharmaceutical Sciences, and Administration
Auburn University,Pharmacy, Pharmaceutical Sciences, and Administration
Auburn University,Veterinary Medicine
Auburn University,Veterinary Biomedical and Clinical Sciences
Auburn University,Veterinary Biomedical and Clinical Sciences
Auburn University,Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing
Auburn University,Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing
Auburn University,Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing
Auburn University,Business Administration, Management and Operations
Auburn University,Business Administration, Management and Operations
Auburn University,Business Administration, Management and Operations
Auburn University,Accounting and Related Services
Auburn University,Accounting and Related Services
Auburn University,Accounting and Related Services
Auburn University,Accounting and Related Services
Auburn University,Business/Managerial Economics
Auburn University,Business/Managerial Economics
Auburn University,Business/Managerial Economics
Auburn University,Finance and Financial Management Services
Auburn University,Hospitality Administration/Management
Auburn University,Human Resources Management and Services
Auburn University,International Business
Auburn University,Management Information Systems and Services
Auburn University,Management Information Systems and Services
Auburn University,Management Information Systems and Services
Auburn University,Management Sciences and Quantitative Methods
Auburn University,Management Sciences and Quantitative Methods
Auburn University,Marketing
Auburn University,History
Auburn University,History
Auburn University,History
Auburn University,History
Auburn University,History
University of Arizona,Agriculture, General
University of Arizona,Agricultural Business and Management
University of Arizona,Agricultural Business and Management
University of Arizona,Agricultural Business and Management
University of Arizona,Agricultural Business and Management
University of Arizona,Agricultural Mechanization
University of Arizona,Agricultural Production Operations
University of Arizona,Animal Sciences
University of Arizona,Animal Sciences
University of Arizona,Animal Sciences
University of Arizona,Food Science and Technology
University of Arizona,Plant Sciences
University of Arizona,Plant Sciences
University of Arizona,Plant Sciences
University of Arizona,Soil Sciences
University of Arizona,Soil Sciences
University of Arizona,Agriculture, Agriculture Operations, and Related Sciences, Other
University of Arizona,Agriculture, Agriculture Operations, and Related Sciences, Other
University of Arizona,Natural Resources Conservation and Research
University of Arizona,Natural Resources Conservation and Research
University of Arizona,Natural Resources Conservation and Research
University of Arizona,Natural Resources Conservation and Research
University of Arizona,Natural Resources Conservation and Research
University of Arizona,Natural Resources Management and Policy
University of Arizona,Natural Resources Management and Policy
University of Arizona,Natural Resources Management and Policy
University of Arizona,Natural Resources Management and Policy
University of Arizona,Wildlife and Wildlands Science and Management
University of Arizona,Wildlife and Wildlands Science and Management
University of Arizona,Wildlife and Wildlands Science and Management
University of Arizona,Natural Resources and Conservation, Other
University of Arizona,Architecture
University of Arizona,Architecture
University of Arizona,City/Urban, Community and Regional Planning
University of Arizona,City/Urban, Community and Regional Planning
University of Arizona,Landscape Architecture
University of Arizona,Real Estate Development
University of Arizona,Architecture and Related Services, Other
University of Arizona,Area Studies
University of Arizona,Area Studies
University of Arizona,Area Studies
University of Arizona,Area Studies
University of Arizona,Ethnic, Cultural Minority, Gender, and Group Studies
University of Arizona,Ethnic, Cultural Minority, Gender, and Group Studies
University of Arizona,Ethnic, Cultural Minority, Gender, and Group Studies
University of Arizona,Ethnic, Cultural Minority, Gender, and Group Studies
University of Arizona,Ethnic, Cultural Minority, Gender, and Group Studies
University of Arizona,Communication and Media Studies
University of Arizona,Communication and Media Studies
University of Arizona,Communication and Media Studies
University of Arizona,Journalism
University of Arizona,Journalism
University of Arizona,Computer and Information Sciences, General
University of Arizona,Computer and Information Sciences, General
University of Arizona,Information Science/Studies
University of Arizona,Information Science/Studies
University of Arizona,Computer Science
University of Arizona,Computer Science
University of Arizona,Computer Science
University of Arizona,Computer Software and Media Applications
University of Arizona,Computer/Information Technology Administration and Management
University of Arizona,Computer and Information Sciences and Support Services, Other
University of Arizona,Education, General
University of Arizona,Education, General
University of Arizona,Bilingual, Multilingual, and Multicultural Education
University of Arizona,Bilingual, Multilingual, and Multicultural Education
University of Arizona,Educational Administration and Supervision
University of Arizona,Educational Administration and Supervision
University of Arizona,Educational Administration and Supervision
University of Arizona,Educational Administration and Supervision
University of Arizona,Educational/Instructional Media Design
University of Arizona,Educational/Instructional Media Design
University of Arizona,Educational/Instructional Media Design
University of Arizona,Educational/Instructional Media Design
University of Arizona,Educational Assessment, Evaluation, and Research
University of Arizona,Educational Assessment, Evaluation, and Research
University of Arizona,Social and Philosophical Foundations of Education
University of Arizona,Social and Philosophical Foundations of Education
University of Arizona,Special Education and Teaching
University of Arizona,Special Education and Teaching
University of Arizona,Special Education and Teaching
University of Arizona,Special Education and Teaching
University of Arizona,Student Counseling and Personnel Services
University of Arizona,Student Counseling and Personnel Services
University of Arizona,Teacher Education and Professional Development, Specific Levels and Methods
University of Arizona,Teacher Education and Professional Development, Specific Levels and Methods
University of Arizona,Teacher Education and Professional Development, Specific Levels and Methods
University of Arizona,Teacher Education and Professional Development, Specific Levels and Methods
University of Arizona,Teacher Education and Professional Development, Specific Levels and Methods
University of Arizona,Teacher Education and Professional Development, Specific Subject Areas
University of Arizona,Teacher Education and Professional Development, Specific Subject Areas
University of Arizona,Teacher Education and Professional Development, Specific Subject Areas
University of Arizona,Teacher Education and Professional Development, Specific Subject Areas
University of Arizona,Teaching English or French as a Second or Foreign Language
University of Arizona,Teaching English or French as a Second or Foreign Language
University of Arizona,Teaching English or French as a Second or Foreign Language
University of Arizona,Education, Other
University of Arizona,Engineering, General
University of Arizona,Engineering, General
University of Arizona,Aerospace, Aeronautical and Astronautical Engineering
University of Arizona,Aerospace, Aeronautical and Astronautical Engineering
University of Arizona,Aerospace, Aeronautical and Astronautical Engineering
University of Arizona,Agricultural Engineering
University of Arizona,Agricultural Engineering
University of Arizona,Agricultural Engineering
University of Arizona,Architectural Engineering
University of Arizona,Biomedical/Medical Engineering
University of Arizona,Biomedical/Medical Engineering
University of Arizona,Biomedical/Medical Engineering
University of Arizona,Chemical Engineering
University of Arizona,Chemical Engineering
University of Arizona,Chemical Engineering
University of Arizona,Civil Engineering
University of Arizona,Civil Engineering
University of Arizona,Civil Engineering
University of Arizona,Civil Engineering
University of Arizona,Civil Engineering
University of Arizona,Computer Engineering
University of Arizona,Electrical, Electronics and Communications Engineering
University of Arizona,Electrical, Electronics and Communications Engineering
University of Arizona,Electrical, Electronics and Communications Engineering
University of Arizona,Engineering Mechanics
University of Arizona,Engineering Mechanics
University of Arizona,Engineering Physics
University of Arizona,Environmental/Environmental Health Engineering
University of Arizona,Environmental/Environmental Health Engineering
University of Arizona,Environmental/Environmental Health Engineering
University of Arizona,Mechanical Engineering
University of Arizona,Mechanical Engineering
University of Arizona,Mechanical Engineering
University of Arizona,Metallurgical Engineering
University of Arizona,Mining and Mineral Engineering
University of Arizona,Mining and Mineral Engineering
University of Arizona,Mining and Mineral Engineering
University of Arizona,Mining and Mineral Engineering
University of Arizona,Nuclear Engineering
University of Arizona,Nuclear Engineering
University of Arizona,Systems Engineering
University of Arizona,Systems Engineering
University of Arizona,Systems Engineering
University of Arizona,Systems Engineering
University of Arizona,Industrial Engineering
University of Arizona,Industrial Engineering
University of Arizona,Geological/Geophysical Engineering
University of Arizona,Geological/Geophysical Engineering
University of Arizona,Geological/Geophysical Engineering
University of Arizona,Geological/Geophysical Engineering
University of Arizona,Biological/Biosystems Engineering
University of Arizona,Engineering, Other
University of Arizona,Engineering, Other
University of Arizona,Engineering, Other
University of Arizona,Engineering-Related Fields
University of Arizona,Engineering-Related Fields
University of Arizona,Engineering-Related Fields
University of Arizona,Linguistic, Comparative, and Related Language Studies and Services
University of Arizona,Linguistic, Comparative, and Related Language Studies and Services
University of Arizona,Linguistic, Comparative, and Related Language Studies and Services
University of Arizona,Slavic, Baltic and Albanian Languages, Literatures, and Linguistics
University of Arizona,Slavic, Baltic and Albanian Languages, Literatures, and Linguistics
University of Arizona,Germanic Languages, Literatures, and Linguistics
University of Arizona,Germanic Languages, Literatures, and Linguistics
University of Arizona,Iranian/Persian Languages, Literatures, and Linguistics
University of Arizona,Iranian/Persian Languages, Literatures, and Linguistics
University of Arizona,Romance Languages, Literatures, and Linguistics
University of Arizona,Romance Languages, Literatures, and Linguistics
University of Arizona,Romance Languages, Literatures, and Linguistics
University of Arizona,Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics
University of Arizona,Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics
University of Arizona,Classics and Classical Languages, Literatures, and Linguistics
University of Arizona,Classics and Classical Languages, Literatures, and Linguistics
University of Arizona,Family and Consumer Economics and Related Studies
University of Arizona,Family and Consumer Economics and Related Studies
University of Arizona,Foods, Nutrition, and Related Services
University of Arizona,Foods, Nutrition, and Related Services
University of Arizona,Human Development, Family Studies, and Related Services
University of Arizona,Human Development, Family Studies, and Related Services
University of Arizona,Law
University of Arizona,Law
University of Arizona,Legal Research and Advanced Professional Studies
University of Arizona,Legal Research and Advanced Professional Studies
University of Arizona,Legal Research and Advanced Professional Studies
University of Arizona,Legal Research and Advanced Professional Studies
University of Arizona,Legal Professions and Studies, Other
University of Arizona,Legal Professions and Studies, Other
University of Arizona,Legal Professions and Studies, Other
University of Arizona,English Language and Literature, General
University of Arizona,English Language and Literature, General
University of Arizona,English Language and Literature, General
University of Arizona,Rhetoric and Composition/Writing Studies
University of Arizona,Rhetoric and Composition/Writing Studies
University of Arizona,Rhetoric and Composition/Writing Studies
University of Arizona,Liberal Arts and Sciences, General Studies and Humanities
University of Arizona,Liberal Arts and Sciences, General Studies and Humanities
University of Arizona,Liberal Arts and Sciences, General Studies and Humanities
University of Arizona,Library Science and Administration
University of Arizona,Library Science and Administration
University of Arizona,Library Science and Administration
University of Arizona,Library Science and Administration
University of Arizona,Library Science and Administration
University of Arizona,Biology, General
University of Arizona,Biology, General
University of Arizona,Biology, General
University of Arizona,Biology, General
University of Arizona,Biochemistry, Biophysics and Molecular Biology
University of Arizona,Biochemistry, Biophysics and Molecular Biology
University of Arizona,Biochemistry, Biophysics and Molecular Biology
University of Arizona,Botany/Plant Biology
University of Arizona,Botany/Plant Biology
University of Arizona,Cell/Cellular Biology and Anatomical Sciences
University of Arizona,Cell/Cellular Biology and Anatomical Sciences
University of Arizona,Cell/Cellular Biology and Anatomical Sciences
University of Arizona,Microbiological Sciences and Immunology
University of Arizona,Microbiological Sciences and Immunology
University of Arizona,Microbiological Sciences and Immunology
University of Arizona,Microbiological Sciences and Immunology
University of Arizona,Microbiological Sciences and Immunology
University of Arizona,Zoology/Animal Biology
University of Arizona,Zoology/Animal Biology
University of Arizona,Genetics
University of Arizona,Genetics
University of Arizona,Physiology, Pathology and Related Sciences
University of Arizona,Physiology, Pathology and Related Sciences
University of Arizona,Physiology, Pathology and Related Sciences
University of Arizona,Physiology, Pathology and Related Sciences
University of Arizona,Pharmacology and Toxicology
University of Arizona,Pharmacology and Toxicology
University of Arizona,Biomathematics, Bioinformatics, and Computational Biology
University of Arizona,Biomathematics, Bioinformatics, and Computational Biology
University of Arizona,Biomathematics, Bioinformatics, and Computational Biology
University of Arizona,Biotechnology
University of Arizona,Ecology, Evolution, Systematics, and Population Biology
University of Arizona,Ecology, Evolution, Systematics, and Population Biology
University of Arizona,Ecology, Evolution, Systematics, and Population Biology
University of Arizona,Molecular Medicine
University of Arizona,Neurobiology and Neurosciences
University of Arizona,Neurobiology and Neurosciences
University of Arizona,Neurobiology and Neurosciences
University of Arizona,Biological and Biomedical Sciences, Other
University of Arizona,Biological and Biomedical Sciences, Other
University of Arizona,Mathematics
University of Arizona,Mathematics
University of Arizona,Mathematics
University of Arizona,Applied Mathematics
University of Arizona,Applied Mathematics
University of Arizona,Applied Mathematics
University of Arizona,Statistics
University of Arizona,Statistics
University of Arizona,Statistics
University of Arizona,Statistics
University of Arizona,Intelligence, Command Control and Information Operations
University of Arizona,Multi-/Interdisciplinary Studies, General
University of Arizona,Multi-/Interdisciplinary Studies, General
University of Arizona,Multi-/Interdisciplinary Studies, General
University of Arizona,Gerontology
University of Arizona,Gerontology
University of Arizona,Historic Preservation and Conservation
University of Arizona,Historic Preservation and Conservation
University of Arizona,Museology/Museum Studies
University of Arizona,Natural Sciences
University of Arizona,Natural Sciences
University of Arizona,Natural Sciences
University of Arizona,Nutrition Sciences
University of Arizona,Nutrition Sciences
University of Arizona,Nutrition Sciences
University of Arizona,International/Global Studies
University of Arizona,Multi/Interdisciplinary Studies, Other
University of Arizona,Health and Physical Education/Fitness
University of Arizona,Health and Physical Education/Fitness
University of Arizona,Health and Physical Education/Fitness
University of Arizona,Philosophy and Religious Studies, General
University of Arizona,Philosophy
University of Arizona,Philosophy
University of Arizona,Philosophy
University of Arizona,Religion/Religious Studies
University of Arizona,Religion/Religious Studies
University of Arizona,Astronomy and Astrophysics
University of Arizona,Astronomy and Astrophysics
University of Arizona,Astronomy and Astrophysics
University of Arizona,Atmospheric Sciences and Meteorology
University of Arizona,Atmospheric Sciences and Meteorology
University of Arizona,Chemistry
University of Arizona,Chemistry
University of Arizona,Chemistry
University of Arizona,Geological and Earth Sciences/Geosciences
University of Arizona,Geological and Earth Sciences/Geosciences
University of Arizona,Geological and Earth Sciences/Geosciences
University of Arizona,Geological and Earth Sciences/Geosciences
University of Arizona,Geological and Earth Sciences/Geosciences
University of Arizona,Physics
University of Arizona,Physics
University of Arizona,Physics
University of Arizona,Physics
University of Arizona,Materials Sciences
University of Arizona,Materials Sciences
University of Arizona,Materials Sciences
University of Arizona,Physical Sciences, Other
University of Arizona,Physical Sciences, Other
University of Arizona,Science Technologies/Technicians, Other
University of Arizona,Science Technologies/Technicians, Other
University of Arizona,Psychology, General
University of Arizona,Psychology, General
University of Arizona,Psychology, General
University of Arizona,Research and Experimental Psychology
University of Arizona,Clinical, Counseling and Applied Psychology
University of Arizona,Clinical, Counseling and Applied Psychology
University of Arizona,Clinical, Counseling and Applied Psychology
University of Arizona,Clinical, Counseling and Applied Psychology
University of Arizona,Criminal Justice and Corrections
University of Arizona,Criminal Justice and Corrections
University of Arizona,Homeland Security
University of Arizona,Public Administration
University of Arizona,Public Administration
University of Arizona,Public Administration
University of Arizona,Public Administration
University of Arizona,Public Policy Analysis
University of Arizona,Public Policy Analysis
University of Arizona,Social Sciences, General
University of Arizona,Anthropology
