s_university_name,s_average_score,s_citation,s_research,s_teaching
Auburn University,20.9,10.3,18.7,33.7
Boston College,50.5666666666667,78,33.6,40.1
Boston University,65.6333333333333,91.4,51.9,53.6
Brandeis University,47.6,90.2,27.3,25.3
Brown University,64.8,77.7,57,59.7
California Institute of Technology,98.5333333333333,99.9,98,97.7
Carnegie Mellon University,81.7666666666667,95.7,79.3,70.3
Case Western Reserve University,62.3333333333333,66,53.8,67.2
Clemson University,21.1,25.5,17,20.8
Colorado School of Mines,37.0333333333333,63.7,22.8,24.6
Cornell University,86.3666666666667,88.1,88.8,82.2
Creighton University,36.6,55.7,10.5,43.6
Dartmouth College,57.8666666666667,79.7,49.2,44.7
Drexel University,46.3666666666667,58.2,35.9,45
Duke University,76.8666666666667,92.3,71.5,66.8
Emory University,63.2,77.8,48.4,63.4
Florida Institute of Technology,40.2,92.5,11.9,16.2
Florida International University,31.0666666666667,49.4,18.1,25.7
Florida State University,47.7666666666667,64.7,40.1,38.5
George Mason University,29.8666666666667,42.6,17.7,29.3
Georgia State University,24.7333333333333,34.4,20.2,19.6
Illinois Institute of Technology,35.9333333333333,50.3,17.3,40.2
Iowa State University,52.3666666666667,58.2,49.6,49.3
Johns Hopkins University,87.4666666666667,92.3,89.2,80.9
Kansas State University,22.8666666666667,33.9,13.8,20.9
Lehigh University,27.7333333333333,44.9,18.1,20.2
Massachusetts Institute of Technology,96.3666666666667,99.9,91.4,97.8
Medical University of South Carolina,46.4666666666667,56.6,38.9,43.9
Michigan State University,55.6,63.7,52.7,50.4
Michigan Technological University,19.9333333333333,24.8,13.8,21.2
Missouri University of Science and Technology,23.5333333333333,28.7,18.4,23.5
New Jersey Institute of Technology,19.3333333333333,26.4,14.5,17.1
New York University,65.2,82.9,50.7,62
Northeastern University,39.7666666666667,70,18.9,30.4
Northwestern University,76.2,95.3,68.8,64.5
Oakland University,17.3,21.9,11.9,18.1
Old Dominion University,25.5,46.9,12.5,17.1
Oregon State University,38.4666666666667,64.1,24.2,27.1
Portland State University,24.8333333333333,43.3,14.4,16.8
Princeton University,95.4,99.9,95.4,90.9
Rensselaer Polytechnic Institute,56.6666666666667,64.9,54.6,50.5
Rice University,69.0333333333333,99.1,50.6,57.4
Rochester Institute of Technology,18.6333333333333,25.1,13.4,17.4
Rush University,48.0,88.9,17.4,37.7
Saint Louis University,44.2666666666667,85,10.9,36.9
San Diego State University,33.0666666666667,61.1,23.1,15
Southern Methodist University,31.6333333333333,67.3,9,18.6
Stanford University,98.5333333333333,99.2,98.1,98.3
Syracuse University,47.9666666666667,87.1,24.4,32.4
Temple University,33.1,43.3,18.8,37.2
Tufts University,66.7666666666667,83.9,52.3,64.1
University of Arizona,58.2333333333333,70.1,52.2,52.4
University of Chicago,87.9666666666667,96.9,87.9,79.1
University of Connecticut,40.7333333333333,50,29.7,42.5
University of Delaware,50.5333333333333,61.3,51.9,38.4
University of Florida,52.5,50.9,59.9,46.7
University of Georgia,39.3666666666667,37.3,36.4,44.4
University of Houston,27.9,23.6,23.6,36.5
University of Idaho,23.2,24,16.2,29.4
University of Illinois at Chicago,46.4333333333333,34.7,46.8,57.8
University of Iowa,54.4,54.8,59.8,48.6
University of Kansas,32.1,43,20.1,33.2
University of Kentucky,34.1,35.2,28.4,38.7
University of Miami,46.4333333333333,70.3,23.3,45.7
University of Nebraska Medical Center,34.8,51.5,16.5,36.4
University of North Carolina at Chapel Hill,77.0,85,75.1,70.9
University of North Carolina at Greensboro,25.5333333333333,43.1,15.3,18.2
University of Notre Dame,63.5333333333333,89.1,45.1,56.4
University of Oregon,41.2,70.4,21.7,31.5
University of Pennsylvania,82.7,93.6,82.7,71.8
University of Rochester,58.3333333333333,94.5,33.5,47
University of Southern California,62.0,71.9,48.7,65.4
University of Southern Mississippi,17.6333333333333,20.1,11.8,21
University of Toledo,24.9666666666667,29.9,13.4,31.6
University of Utah,60.6666666666667,72,54.2,55.8
University of Vermont,35.9,58.6,20.6,28.5
University of Wyoming,25.3333333333333,36.7,20.9,18.4
Vanderbilt University,67.5,78.1,59.5,64.9
Wake Forest University,58.9,79.2,42.9,54.6
Wayne State University,35.4333333333333,55.2,16.4,34.7
Yale University,91.1,91.5,89.7,92.1
Yeshiva University,61.5333333333333,74.4,46.7,63.5
