u_university_name,u_school_type,u_state
Auburn University,Public,Alabama
Boston College,"Private, nonprofit",Massachusetts
Boston University,"Private, nonprofit",Massachusetts
Brandeis University,"Private, nonprofit",Massachusetts
Brown University,"Private, nonprofit",Rhode Island
California Institute of Technology,"Private, nonprofit",California
Carnegie Mellon University,"Private, nonprofit",Pennsylvania
Case Western Reserve University,"Private, nonprofit",Ohio
Clemson University,Public,South Carolina
Colorado School of Mines,Public,Colorado
Cornell University,"Private, nonprofit",New York
Creighton University,"Private, nonprofit",Nebraska
Dartmouth College,"Private, nonprofit",New Hampshire
Drexel University,"Private, nonprofit",Pennsylvania
Duke University,"Private, nonprofit",North Carolina
Emory University,"Private, nonprofit",Georgia
Florida Institute of Technology,"Private, nonprofit",Florida
Florida International University,Public,Florida
Florida State University,Public,Florida
George Mason University,Public,Virginia
Georgia State University,Public,Georgia
Illinois Institute of Technology,"Private, nonprofit",Illinois
Iowa State University,Public,Iowa
Johns Hopkins University,"Private, nonprofit",Maryland
Kansas State University,Public,Kansas
Lehigh University,"Private, nonprofit",Pennsylvania
Massachusetts Institute of Technology,"Private, nonprofit",Massachusetts
Medical University of South Carolina,Public,South Carolina
Michigan State University,Public,Michigan
Michigan Technological University,Public,Michigan
Missouri University of Science and Technology,Public,Missouri
New Jersey Institute of Technology,Public,New Jersey
New York University,"Private, nonprofit",New York
Northeastern University,"Private, nonprofit",Massachusetts
Northwestern University,"Private, nonprofit",Illinois
Oakland University,Public,Michigan
Old Dominion University,Public,Virginia
Oregon State University,Public,Oregon
Portland State University,Public,Oregon
Princeton University,"Private, nonprofit",New Jersey
Rensselaer Polytechnic Institute,"Private, nonprofit",New York
Rice University,"Private, nonprofit",Texas
Rochester Institute of Technology,"Private, nonprofit",New York
Rush University,"Private, nonprofit",Illinois
Saint Louis University,"Private, nonprofit",Missouri
San Diego State University,Public,California
Southern Methodist University,"Private, nonprofit",Texas
Stanford University,"Private, nonprofit",California
Syracuse University,"Private, nonprofit",New York
Temple University,Public,Pennsylvania
Tufts University,"Private, nonprofit",Massachusetts
University of Arizona,Public,Arizona
University of Chicago,"Private, nonprofit",Illinois
University of Connecticut,Public,Connecticut
University of Delaware,Public,Delaware
University of Florida,Public,Florida
University of Georgia,Public,Georgia
University of Houston,Public,Texas
University of Idaho,Public,Idaho
University of Illinois at Chicago,Public,Illinois
University of Iowa,Public,Iowa
University of Kansas,Public,Kansas
University of Kentucky,Public,Kentucky
University of Miami,"Private, nonprofit",Florida
University of Nebraska Medical Center,Public,Nebraska
University of North Carolina at Chapel Hill,Public,North Carolina
University of North Carolina at Greensboro,Public,North Carolina
University of Notre Dame,"Private, nonprofit",Indiana
University of Oregon,Public,Oregon
University of Pennsylvania,"Private, nonprofit",Pennsylvania
University of Rochester,"Private, nonprofit",New York
University of Southern California,"Private, nonprofit",California
University of Southern Mississippi,Public,Mississippi
University of Toledo,Public,Ohio
University of Utah,Public,Utah
University of Vermont,Public,Vermont
University of Wyoming,Public,Wyoming
Vanderbilt University,"Private, nonprofit",Tennessee
Wake Forest University,"Private, nonprofit",North Carolina
Wayne State University,Public,Michigan
Yale University,"Private, nonprofit",Connecticut
Yeshiva University,"Private, nonprofit",New York
